tconst	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers	tags
tt0017765	0	1927	66	Comedy,Drama,Sport	6.9	nm0395023,nm0000036	nm0361882,nm0289381	in netflix queue
tt0017925	0	1926	78	Action,Adventure,Comedy	8.1	nm0115669,nm0000036	nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548	
tt0018037	0	1927	88	Drama,Music,Musical	6.4	nm0189076	nm0710723,nm0169879,nm0418772	
tt0018328	0	1927	89	Drama,Romance,Sport	6.1	nm0000033	nm0000033,nm0720904	
tt0018455	0	1927	94	Drama,Romance	8.1	nm0003638	nm0562346,nm0837183,nm0385012,nm0129721	
tt0018773	0	1928	72	Comedy,Family,Romance	8.1	nm0000122	nm0000122	big top, circus
tt0019254	0	1928	114	Biography,Drama,History	8.1	nm0003433	nm0217865,nm0003433	saint
tt0019421	0	1928	70	Action,Comedy,Drama	7.8	nm0718469,nm0000036	nm0361882,nm0000036	
tt0019729	0	1929	100	Drama,Musical,Romance	5.5	nm0064600	nm0332539,nm0396876,nm0322299,nm0049898	
tt0019760	0	1929	68	Documentary	8.3	nm0895048	nm0895048	
tt0019777	0	1929	96	Comedy,Musical,Romance	6.8	nm0282984,nm0763798	nm0442151,nm0753452	
tt0020629	0	1930	152	Drama,War	8.1	nm0587277	nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277	
tt0020640	0	1930	97	Comedy,Family,Musical	7.4	nm0373511	nm0442151,nm0753452,nm0436095,nm0748438	
tt0020641	0	1930	89	Drama,Romance	6.5	nm0113284	nm0547966,nm0642156	
tt0020697	0	1930	104	Drama,Music,Romance	7.6	nm0903049	nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567	nightclub, singers
tt0020827	0	1930	84	Drama,Romance	6.7	nm0502752	nm0663624,nm0342417,nm0780803,nm0576046	divorce
tt0021079	0	1931	79	Action,Crime,Drama	7.2	nm0503777	nm0122446,nm0267020,nm0498133,nm0520501,nm0953123	
tt0021746	0	1931	123	Drama,Western	5.8	nm0749484	nm0272209,nm0261455,nm0765037	
tt0021749	0	1931	87	Comedy,Drama,Romance	8.5	nm0000122	nm0000122,nm0139714,nm0188357	blind
tt0021814	0	1931	75	Drama,Fantasy,Horror	7.4	nm0115218,nm0005713	nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574	
tt0021884	0	1931	70	Drama,Horror,Sci-Fi	7.8	nm0001843	nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246	in netflix queue
tt0021890	0	1931	101	Comedy,Crime,Drama	6.7	nm0587277	nm0372942,nm0531269,nm0179993,nm0496468	
tt0022100	0	1931	99	Crime,Mystery,Thriller	8.3	nm0000485	nm0902376,nm0000485,nm0414825	serial killer, atmospheric, chilly, creepy, menacing, mental illness, oninous
tt0022111	0	1931	80	Crime,Drama,Film-Noir	6.8	nm0215877	nm0358591,nm0298494,nm0391763,nm0399203	heist
tt0022183	0	1931	87	Drama,Romance	7.5	nm0755985,nm0296193	nm0935475,nm0198887,nm0171372	
tt0022286	0	1931	83	Crime,Drama	7.6	nm0920074	nm0321891,nm0109148,nm0857710	
tt0022599	0	1931	83	Comedy,Musical	7.4	nm0163229	nm0163229	
tt0022718	0	1932	85	Comedy	7.2	nm0719756	nm0268988,nm0719756,nm0884152	
tt0022835	0	1931	98	Horror,Sci-Fi	7.6	nm0541149	nm0388755,nm0372698,nm0829044	
tt0022879	0	1932	80	Drama,Romance,War	6.4	nm0097648	nm0322227,nm0308177,nm0002133,nm0821716	hemingway
tt0022913	0	1932	64	Drama,Horror	7.8	nm0115218	nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138	circus
tt0022958	0	1932	112	Drama,Romance	7.3	nm0332539	nm0062139,nm0237033,nm0049462,nm0941138,nm16524878,nm16524879,nm16524880	
tt0023027	0	1932	68	Comedy,Family,Musical	7.5	nm0572851	nm0436095,nm0748438,nm0673279,nm0426953,nm0790654	marx brothers
tt0023042	0	1932	92	Crime,Drama,Film-Noir	8.2	nm0503777	nm0122859,nm0337914,nm0391763,nm0316807	
tt0023245	0	1932	73	Fantasy,Horror	7.0	nm0005713	nm0701233,nm0770337,nm0049721	
tt0023427	0	1932	93	Action,Crime,Drama	7.7	nm0001328,nm0744514	nm0870660,nm0372942,nm0589316,nm0536941,nm0122446,nm0001328,nm0664646	
tt0023563	0	1933	122	Crime,Mystery,Thriller	7.9	nm0000485	nm0415167,nm0000485,nm0829954,nm0902376	
tt0023622	0	1932	83	Comedy,Crime,Romance	7.9	nm0523932	nm0710723,nm0428177,nm0015801	
tt0023753	0	1933	76	Adventure,Family,Fantasy	6.3	nm0572851,nm0363414,nm0411208	nm0000581,nm0580017,nm0140902	
tt0023948	0	1933	111	Drama	7.5	nm0002030	nm0547966,nm0542534,nm0442151,nm0272209,nm0829330,nm0576046	
tt0023969	0	1933	69	Comedy,Musical	7.7	nm0564970	nm0436095,nm0748438,nm0790654,nm0674759	
tt0024025	0	1933	89	Comedy,Musical,Romance	6.6	nm0293260	nm0401738,nm0359748,nm0312510,nm0129669,nm0110607,nm0173532,nm0276284,nm0502071,nm0629240,nm0816201,nm0857710,nm1092329	astaire and rogers
tt0024034	0	1933	89	Comedy,Drama,Musical	7.3	nm0045800	nm0416861,nm0786827,nm0740622,nm0093456	
tt0024069	0	1933	97	Comedy,Drama,Musical	7.7	nm0503777	nm0312510,nm0786827,nm0091200,nm0548993,nm0394479	
tt0024184	0	1933	71	Horror,Sci-Fi	7.6	nm0001843	nm0920229,nm0792670,nm0002545,nm0943804	invisibility
tt0024216	0	1933	100	Adventure,Horror	7.9	nm0178260,nm0774325	nm0187256,nm0741656,nm0178260,nm0908624,nm0330390	
tt0024264	0	1933	115	Drama,Family,Romance	7.2	nm0002030	nm0017301,nm0556945,nm0373511,nm0028636,nm0088670,nm0102818,nm0276040,nm0376179,nm0613848,nm0827693,nm0875746,nm0878605	
tt0024601	0	1933	68	Comedy,Family	7.5	nm0782682	nm0186600,nm0001316,nm0059374,nm0153713,nm0166671,nm0491048,nm0730018,nm0782682,nm0874497,nm0919543	
tt0024803	0	1933	47	Drama	7.2	nm0897118	nm0897118	
tt0024844	0	1934	89	Comedy,Drama,Romance	7.7	nm0897118	nm0347447,nm0729960,nm0897118	
tt0024852	0	1934	77	Comedy,Family,Fantasy	7.1	nm0576940,nm0736778	nm0124918,nm0342417,nm0152156,nm0491048	
tt0024966	0	1934	93	Biography,Drama,History	7.0	nm0890574,nm0890567	nm0298998,nm0298997,nm0890574,nm0890567	
tt0025164	0	1934	107	Comedy,Musical,Romance	7.4	nm0762263	nm0852313,nm0916177,nm0388755,nm0547938,nm0949130,nm0442137,nm0070361,nm0359748,nm0543122,nm0712060	divorce
tt0025316	0	1934	105	Comedy,Romance	8.1	nm0001008	nm0728307,nm0011343	screwball
tt0025452	0	1934	75	Crime,Drama,Mystery	6.7	nm0000033	nm0071657,nm0943922,nm0339326,nm0712653,nm0930539	
tt0025456	0	1934	76	Documentary,Drama	7.1	nm0280904	nm0280904	
tt0025586	0	1934	83	Drama,Film-Noir,Romance	7.0	nm0188669	nm0169556,nm0560857,nm0170923	
tt0025878	0	1934	91	Comedy,Crime,Mystery	7.9	nm0886754	nm0352443,nm0329304,nm0358591	nick and nora charles
tt0025913	0	1935	110	Documentary,History	7.1	nm0726166	nm0726166,nm0752193,nm1168002	
tt0025919	0	1934	91	Comedy,Romance	7.3	nm0001328	nm0589619,nm0372942,nm0531269,nm0002545,nm0288706	in netflix queue
tt0026029	0	1935	86	Crime,Mystery,Thriller	7.6	nm0000033	nm0117955,nm0071657,nm0067308	fugitive
tt0026056	0	1935	99	Comedy,Drama,Romance	6.9	nm0828419	nm0850483,nm0949130,nm0644420,nm0613848	class
tt0026071	0	1935	95	Drama,Romance	7.0	nm0113284	nm0866243,nm0199304,nm0826554,nm0067103	
tt0026138	0	1935	75	Drama,Horror,Sci-Fi	7.8	nm0001843	nm0791217,nm0403398,nm0049721,nm0076653,nm0088662,nm0282984,nm0531878,nm0715723,nm0792670,nm1073460,nm2191908	
tt0026174	0	1935	119	Action,Adventure,History	7.7	nm0002031	nm0754581,nm0732452,nm16463753	swashbuckler
tt0026421	0	1935	95	Comedy,Musical,Romance	6.8	nm0000923	nm0781719,nm0590361,nm0520501	
tt0026676	0	1935	66	Comedy,Crime,Mystery	7.4	nm0115669,nm0001211	nm0365222,nm0362742,nm0001211,nm0192325,nm0341185,nm0801647,nm0894643	
tt0026714	0	1935	133	Comedy,Fantasy,Romance	6.8	nm0226189,nm0718121	nm0000636,nm0448981,nm0564610	
tt0026752	0	1935	132	Adventure,Biography,Drama	7.6	nm0515979	nm0421255,nm0299154,nm0933133,nm0635079,nm0355681,nm0004290,nm0268513,nm0460130,nm4724192	ships
tt0026778	0	1935	96	Comedy,Music,Musical	7.8	nm0939992,nm0332539	nm0442151,nm0753452,nm0570130,nm0000036,nm0090213,nm0436095,nm0649183,nm0685265,nm0748438,nm0780833,nm0933133	marx brothers, opera
tt0026942	0	1935	106	Comedy,Musical,Romance	7.0	nm0782682	nm0006153,nm0361877,nm0002317,nm0613848,nm0591791,nm0778818,nm0874497,nm0949130	astaire and rogers
tt0027075	0	1935	128	Drama,History,Romance	7.8	nm0176699,nm0502752	nm0002042,nm0513744,nm0067103,nm1892772,nm7454408,nm7454409,nm1898835	dickens
tt0027125	0	1935	101	Comedy,Musical,Romance	7.7	nm0762263	nm0852313,nm0778818,nm0015801,nm0267022,nm0391750,nm0639130,nm0817809	astaire and rogers
tt0027260	0	1936	112	Comedy,Crime,Mystery	7.6	nm0886754	nm0329304,nm0352443,nm0358591	nick and nora charles
tt0027300	0	1936	141	Adventure,Drama,Romance	6.3	nm0503777,nm0002031	nm0020574,nm0316807,nm0471341	
tt0027630	0	1936	110	Comedy,Musical,Romance	7.1	nm0762263	nm0852313,nm0778818,nm0651661,nm0513858,nm0949130	astaire and rogers
tt0027652	0	1936	92	Crime,Drama,Film-Noir	7.8	nm0000485	nm0179993,nm0000485,nm0469915	revenge
tt0027664	0	1936	98	Action,Drama,War	6.5	nm0587277	nm0644048,nm0095660	
tt0027698	0	1936	176	Drama,Musical	6.6	nm0502752	nm0570305	
tt0027884	0	1936	98	Comedy,Romance	7.8	nm0176699	nm0914362,nm0736911,nm0649183,nm0838395	
tt0027893	0	1936	102	Drama,Family	7.3	nm0188669	nm0122364,nm0909484,nm0188669,nm0770337	
tt0027948	0	1936	123	Biography,Drama,History	6.3	nm0000406,nm0329574	nm0629580,nm0027173,nm0644420	
tt0027977	0	1936	87	Comedy,Drama,Romance	8.5	nm0000122	nm0000122	factory
tt0027996	0	1936	115	Comedy,Drama,Romance	7.8	nm0001008	nm0728307,nm0445502	
tt0028010	0	1936	94	Comedy,Drama,Romance	7.9	nm0478441	nm0753452,nm0368719,nm0015399,nm0478441,nm0696190	butler, homeless, screwball
tt0028212	0	1936	76	Crime,Thriller	7.0	nm0000033	nm0175676,nm0071657,nm0067308,nm0801026,nm0256532	
tt0028216	0	1936	115	Drama,Music,Romance	7.1	nm0886754	nm0002616,nm0394267,nm0542534	
tt0028231	0	1936	86	Crime,Drama,Mystery	6.4	nm0000033	nm0228776,nm0560857,nm0071657,nm0067308,nm0489679	
tt0028333	0	1936	103	Comedy,Musical,Romance	7.5	nm0828419	nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0637610,nm0892044,nm0949130	astaire and rogers
tt0028346	0	1936	66	Comedy,Crime,Drama	3.7	nm0309163	nm0574966,nm0388554,nm0291515	
tt0028510	0	1936	55	Drama,Western	6.0	nm0942611	nm0688853	
tt0028597	0	1937	90	Comedy,Romance	7.7	nm0564970	nm0217568,nm0725017,nm0118227	screwball
tt0028683	0	1936	109	Drama,Romance	7.3	nm0002030	nm0015399,nm0547966,nm0385264,nm0241414,nm0460130,nm0933133	
tt0028691	0	1937	117	Adventure,Drama,Family	7.9	nm0281808	nm0456017,nm0536941,nm0175091,nm0886861,nm0453311,nm0460130,nm4724192	
tt0028772	0	1937	111	Comedy,Family,Musical	7.5	nm0939992	nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133	
tt0028944	0	1937	138	Drama,Romance	7.5	nm0291548,nm0281808,nm0532561,nm0939992	nm0421255,nm0805756,nm0921995,nm0118406,nm0547966	pearl s buck
tt0028950	0	1937	113	Drama,War	8.1	nm0719756	nm0816458,nm0719756	downbeat, poignant
tt0028988	0	1937	88	Drama,Family,Musical	7.2	nm0245385	nm0819983,nm0274923,nm0430756	
tt0029081	0	1937	77	Action,Adventure,Family	6.3	nm0829038,nm0054787	nm0353584,nm0389580,nm0675729,nm0071657,nm0712653,nm0817809	
tt0029146	0	1937	116	Biography,Drama	7.1	nm0226189	nm0706993,nm0378431,nm0378773,nm0430763	
tt0029162	0	1937	132	Adventure,Drama,Fantasy	7.6	nm0001008	nm0728307,nm0385264,nm0118227	shangri-la
tt0029192	0	1937	91	Drama,Romance	8.1	nm0564970	nm0217568,nm0492854,nm0495259,nm0495270,nm0732209	heartbreaking
tt0029284	0	1940	88	Comedy,Romance	7.2	nm0437717	nm0818415,nm0818416,nm0564970,nm0437717,nm0565609,nm0855139	
tt0029453	0	1937	94	Crime,Drama,Romance	7.7	nm0245213	nm0038837,nm0245213,nm0176008,nm0419986	
tt0029546	0	1937	109	Comedy,Musical,Romance	7.4	nm0762263	nm0778818,nm0656039,nm0938439,nm0517216,nm0118214,nm0152157,nm0332905,nm0636002	astaire and rogers
tt0029583	0	1937	83	Adventure,Animation,Family	7.6	nm0183183,nm0359457,nm0414144,nm0604392,nm0668998,nm0789313	nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324	disney
tt0029604	0	1937	92	Comedy,Drama,Romance	7.7	nm0478441	nm0753452,nm0892044,nm0272209,nm0442151,nm0491076,nm0574112,nm0780833	show business
tt0029606	0	1937	111	Drama,Romance	7.3	nm0920074,nm0176699,nm0281808	nm0662213,nm0132180,nm0308604,nm0920074,nm0006388,nm0372942,nm0488057,nm0536941,nm0775977,nm0820700	
tt0029808	0	1937	86	Crime,Drama,Film-Noir	7.2	nm0000485	nm0869999,nm0048305	fugitive
tt0029843	0	1938	102	Action,Adventure,Romance	7.9	nm0002031,nm0445033	nm0706993,nm0589316,nm0500284	swashbuckler
tt0029850	0	1938	112	Action,Biography,Drama	7.5	nm0001178,nm0890565	nm0001178,nm0667698	
tt0029870	0	1938	97	Crime,Drama,Film-Noir	7.9	nm0002031	nm0923333,nm0240417,nm0114602,nm0372942,nm0531269	
tt0029942	0	1938	96	Biography,Drama,Family	7.2	nm0851537	nm0576046,nm0770196,nm0341178,nm0591774	
tt0029947	0	1938	102	Comedy	7.8	nm0001328	nm0629580,nm0928444	leopard, screwball
tt0029992	0	1938	69	Drama,Family,Fantasy	7.5	nm0547446	nm0002042,nm0124947	
tt0030241	0	1938	95	Comedy,Romance	7.7	nm0002030	nm0829330,nm0118227,nm0058129	
tt0030287	0	1938	104	Drama,Romance	7.4	nm0943758	nm0728002,nm0277874,nm0001379,nm0205244,nm0118758,nm0248994	bette davis, oscar (best actress)
tt0030341	0	1938	96	Crime,Drama,Mystery	7.7	nm0000033	nm0924781,nm0319148,nm0490950	train
tt0030637	0	1938	89	Comedy,Drama,Romance	7.7	nm0002190,nm0001366	nm0789737,nm0513744,nm0507021,nm0198202,nm0344645,nm0909727	george bernard shaw
tt0030993	0	1938	126	Comedy,Drama,Romance	7.8	nm0001008	nm0728307,nm0442151,nm0366454	
tt0031047	0	1939	103	Comedy,Crime,Mystery	7.3	nm0886754	nm0329304,nm0352443,nm0358591,nm0002616	nick and nora charles
tt0031060	0	1939	87	Comedy,Musical	6.8	nm0125636	nm0106505,nm0000036,nm0821716	
tt0031210	0	1939	104	Drama,Romance	7.4	nm0332539	nm0732452,nm0108108,nm0088602	terminal illness
tt0031225	0	1939	95	Comedy,Western	7.6	nm0550892	nm0413519,nm0700717,nm0616730,nm0062738	
tt0031381	0	1939	238	Drama,Romance,War	8.2	nm0281808	nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668,nm16457464	civil war
tt0031385	0	1939	114	Drama,Romance	7.9	nm0939992,nm0291548	nm0792670,nm0921995,nm0556178,nm0385264	
tt0031397	0	1939	76	Adventure,Animation,Comedy	6.6	nm0281487,nm0101466,nm0130725,nm0186276,nm0377431,nm0396043,nm0426322,nm0446041,nm0460667,nm0498984,nm0622451,nm0658476	nm0842605,nm0786545,nm0330106,nm0397175,nm0682481,nm0816917	
tt0031398	0	1939	117	Adventure,Comedy,War	7.2	nm0828419	nm0768540,nm0347451,nm0372942,nm0531269,nm0456017,nm0001203,nm0169556,nm0173303,nm0493071,nm0629580,nm0726542,nm0892044	
tt0031455	0	1939	116	Drama,Romance	7.8	nm0226189	nm0397022,nm0290863,nm0401076	disability
tt0031505	0	1939	98	Adventure,Crime,Drama	6.3	nm0000033	nm0238898,nm0319148,nm0365661,nm0697362	
tt0031580	0	1939	93	Comedy,Drama,Family	7.1	nm0485943,nm0782682	nm0384248,nm0274923,nm0122364	
tt0031593	0	1939	88	Comedy,Drama,Romance	7.3	nm0564970	nm0202681,nm0829330,nm0186118,nm0564970,nm0067103	
tt0031679	0	1939	129	Comedy,Drama	8.1	nm0001008	nm0118227,nm0287931,nm0175333	politics
tt0031725	0	1939	110	Comedy,Romance	7.8	nm0523932	nm0102818,nm0000697,nm0281556,nm0501872	cold war, russia
tt0031742	0	1939	106	Adventure,Drama	7.8	nm0587277	nm0825705,nm0813554	
tt0031762	0	1939	121	Adventure,Drama,Romance	7.6	nm0001328	nm0299154,nm0001328,nm0341178,nm0710299	
tt0031867	0	1939	106	Crime,Drama,Thriller	7.9	nm0909825	nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333	in netflix queue
tt0031885	0	1939	110	Comedy,Drama	7.9	nm0719756	nm0719756,nm0002569,nm0064559	
tt0031971	0	1939	96	Adventure,Drama,Western	7.8	nm0000406	nm0370697,nm0629580,nm0372942	
tt0032138	0	1939	102	Adventure,Family,Fantasy	8.1	nm0281808,nm0896542	nm0486538,nm0753249,nm0941138,nm0000875,nm0002030,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015,nm0861703,nm0896542	dorothy, toto
tt0032143	0	1939	133	Comedy,Drama	7.7	nm0002030	nm0524403,nm0002616,nm0613848,nm0280234,nm0829330	divorce
tt0032145	0	1939	104	Drama,Romance	7.5	nm0943758	nm0531269,nm0372942,nm0111577,nm0001379	
tt0032194	0	1940	141	Drama,Romance	7.4	nm0514822	nm0276019,nm0732452	
tt0032234	0	1940	72	Comedy	7.1	nm0166836	nm0001211,nm0140958	
tt0032339	0	1940	62	Comedy,Family	7.2	nm0332531	nm0736778,nm0012148,nm0003377,nm0491048	
tt0032410	0	1940	89	Comedy,Drama,Musical	6.4	nm0191899	nm0912090,nm0876562,nm0416861,nm0817809	
tt0032455	0	1940	124	Animation,Family,Fantasy	7.7	nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313	nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872	disney
tt0032475	0	1940	195	Action,Adventure,Family	6.6	nm0066247,nm0853028	nm0713204,nm0225458,nm0687741,nm0794088	
tt0032484	0	1940	120	Action,Drama,Romance	7.4	nm0000033	nm0071657,nm0365661,nm0385264,nm0070361,nm0372942,nm0537363	europe, journalism, war
tt0032536	0	1940	80	Comedy,Musical,Western	6.8	nm0125636	nm0106505,nm0000036	
tt0032551	0	1940	129	Drama	8.1	nm0000406	nm0425913,nm0825705	depression, dust bowl
tt0032553	0	1940	125	Comedy,Drama,War	8.4	nm0000122	nm0000122	nazis
tt0032599	0	1940	92	Comedy,Drama,Romance	7.8	nm0001328	nm0496468,nm0372942,nm0531269,nm0753452	screwball
tt0032617	0	1940	99	Comedy,Romance	7.4	nm0886754	nm0330390,nm0914362,nm0169665,nm0496468,nm0649183,nm0475823	
tt0032635	0	1940	81	Drama,Horror,Mystery	6.5	nm0562004	nm0920229,nm0562004,nm0802561,nm0170660,nm0067794	
tt0032701	0	1940	95	Crime,Drama,Film-Noir	7.5	nm0943758	nm0560857,nm0462321,nm16463753	in netflix queue
tt0032762	0	1940	94	Action,Adventure,Family	7.5	nm0541149	nm0285218,nm0287124,nm0580648,nm0191547,nm0599652	swashbuckler
tt0032851	0	1940	126	Adventure,Drama,History	7.0	nm0896542,nm0176699,nm0886754	nm0821716,nm0421255,nm0731314,nm0290863,nm0299154,nm0384227,nm0397608,nm0486538,nm0547966,nm0613848,nm0725218,nm0770337,nm0792845,nm0801955,nm0896542	
tt0032881	0	1940	90	Drama,Family,Romance	6.5	nm0939992	nm0928642,nm0186600,nm0151310	
tt0032904	0	1940	112	Comedy,Romance	7.8	nm0002030	nm0829330,nm0058129,nm0759029	divorce
tt0032910	0	1940	88	Adventure,Animation,Comedy	7.5	nm0272568,nm0373429,nm0414144,nm0455741,nm0527217,nm0730860,nm0789313	nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895	disney
tt0032943	0	1940	118	Comedy,Drama,Romance	7.4	nm0502752	nm0404717,nm0613848,nm0000807,nm0422017,nm0373511,nm0556945,nm0805756,nm0886668	
tt0032976	0	1940	130	Drama,Mystery,Romance	8.1	nm0000033	nm0238898,nm0792845,nm0365661,nm0531878,nm0389580	mrs. dewinter
tt0033045	0	1940	99	Comedy,Drama,Romance	8.0	nm0523932	nm0710723,nm0529450,nm0372942	remade
tt0033149	0	1940	95	Crime,Drama,Film-Noir	7.2	nm0909825	nm0907003,nm0531335,nm0080135	truckers
tt0033152	0	1940	106	Adventure,Family,Fantasy	7.4	nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017	nm0539942,nm0083742,nm0000067	
tt0033467	0	1941	119	Drama,Mystery	8.3	nm0000080	nm0542534,nm0000080,nm0002144,nm0219670,nm0448809	rosebud
tt0033553	0	1941	113	Drama,Horror,Sci-Fi	6.8	nm0281808	nm0536941,nm0829044,nm0372698,nm0388755,nm0651585	
tt0033563	0	1941	64	Adventure,Animation,Drama	7.2	nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313	nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785	disney
tt0033712	0	1941	94	Comedy,Fantasy,Romance	7.5	nm0355284	nm0118227,nm0589316,nm0781895	
tt0033717	0	1941	100	Action,Adventure,Drama	7.5	nm0909825	nm0001379,nm0122446	
tt0033774	0	1941	107	Crime,Film-Noir,Mystery	7.0	nm0503777	nm0536941,nm0335455	
tt0033804	0	1941	94	Comedy,Romance	7.7	nm0002545	nm0388743,nm0002545	gambling
tt0033836	0	1941	116	Drama,Romance	7.9	nm0943758	nm0375484,nm0462111,nm0662213,nm0132180	family
tt0033852	0	1941	99	Comedy,Romance	7.4	nm0176699	nm0525067,nm0496468,nm0381082	
tt0033870	0	1941	100	Crime,Drama,Film-Noir	7.9	nm0001379	nm0001379,nm0358591	statue
tt0033874	0	1941	112	Comedy,Romance	7.5	nm0445033	nm0258493,nm0442151,nm0366454	
tt0033891	0	1941	122	Comedy,Drama,Romance	7.6	nm0001008	nm0175028,nm0696190,nm0728307,nm0175333	journalism
tt0033922	0	1941	95	Comedy,Romance	6.3	nm0000033	nm0469915	
tt0034012	0	1941	119	Drama,Romance	7.1	nm0828419	nm0753452,nm0154773	adoption
tt0034167	0	1941	134	Biography,Drama,History	7.7	nm0001328	nm0277874,nm0151310,nm0462321,nm0001379,nm0948663,nm0804097,nm0184633	
tt0034172	0	1941	97	Drama,Mystery	7.2	nm0886754	nm0106505,nm0475823,nm0358591	nick and nora charles
tt0034240	0	1941	90	Adventure,Comedy,Drama	7.9	nm0002545	nm0002545	
tt0034248	0	1941	99	Drama,Film-Noir,Mystery	7.3	nm0000033	nm0710723,nm0365661,nm0720904,nm0075324,nm0726542	paranoia
